,venue,innings,batting_team,bowling_team,batsmen,bowlers,total_run
605,Eden Gardens,1,Delhi Daredevils,Kolkata Knight Riders,"SV Samson, KK Nair, SS Iyer","NM Coulter-Nile, UT Yadav, CR Woakes, SP Narine, Kuldeep Yadav",53
606,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Sunrisers Hyderabad,Kings XI Punjab,"DA Warner, S Dhawan","I Sharma, Anureet Singh, MM Sharma, AR Patel",60
607,Maharashtra Cricket Association Stadium,1,Rising Pune Supergiant,Royal Challengers Bangalore,"AM Rahane, RA Tripathi, SPD Smith","AF Milne, S Badree, S Aravind, YS Chahal",43
608,Saurashtra Cricket Association Stadium,1,Gujarat Lions,Mumbai Indians,"Ishan Kishan, BB McCullum, SK Raina, AJ Finch, KD Karthik","MJ McClenaghan, SL Malinga, Harbhajan Singh, JJ Bumrah",48
609,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Delhi Daredevils,Kings XI Punjab,"SV Samson, SW Billings, KK Nair, SS Iyer, RR Pant","Sandeep Sharma, T Natarajan, MM Sharma",25
610,"Rajiv Gandhi International Stadium, Uppal",1,Sunrisers Hyderabad,Kolkata Knight Riders,"DA Warner, S Dhawan","NM Coulter-Nile, UT Yadav, CR Woakes, YK Pathan, SP Narine, Kuldeep Yadav",79
611,Wankhede Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"V Kohli, Mandeep Singh, TM Head, AB de Villiers","MJ McClenaghan, SL Malinga, HH Pandya, KV Sharma, JJ Bumrah",52
612,Maharashtra Cricket Association Stadium,1,Gujarat Lions,Rising Pune Supergiant,"Ishan Kishan, BB McCullum","JD Unadkat, Washington Sundar, BA Stokes, Imran Tahir",55
613,Feroz Shah Kotla,1,Sunrisers Hyderabad,Delhi Daredevils,"DA Warner, S Dhawan, KS Williamson","J Yadav, K Rabada, CH Morris, Mohammed Shami",66
614,Eden Gardens,1,Kolkata Knight Riders,Rising Pune Supergiant,"SP Narine, G Gambhir, SP Jackson, MK Pandey","JD Unadkat, BA Stokes, Washington Sundar",41
615,Feroz Shah Kotla,1,Gujarat Lions,Delhi Daredevils,"DR Smith, BB McCullum, SK Raina, KD Karthik","S Nadeem, K Rabada, PJ Cummins, Mohammed Shami",58
616,M Chinnaswamy Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,"HM Amla, MJ Guptill, SE Marsh, M Vohra","A Choudhary, S Aravind, SR Watson, S Badree",35
617,"Rajiv Gandhi International Stadium, Uppal",1,Rising Pune Supergiant,Sunrisers Hyderabad,"AM Rahane, RA Tripathi, SPD Smith","B Kumar, A Nehra, S Kaul, Rashid Khan, MC Henriques",35
618,Feroz Shah Kotla,1,Mumbai Indians,Delhi Daredevils,"LMP Simmons, PA Patel","Z Khan, K Rabada, PJ Cummins",60
619,M Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,"CH Gayle, V Kohli, Mandeep Singh, AB de Villiers, TM Head","UT Yadav, CR Woakes, SP Narine",40
620,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Gujarat Lions,"MJ Guptill, HM Amla, SE Marsh","PJ Sangwan, DS Kulkarni, Basil Thampi, JP Faulkner",44
621,"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Sunrisers Hyderabad,"LMP Simmons, PA Patel, N Rana, RG Sharma","B Kumar, Mohammad Nabi, Mohammed Siraj, S Kaul",36
622,"Punjab Cricket Association IS Bindra Stadium, Mohali",1,Kings XI Punjab,Kolkata Knight Riders,"MJ Guptill, M Vohra, SE Marsh, WP Saha","UT Yadav, C de Grandhomme, SP Narine",41
623,Green Park,1,Gujarat Lions,Delhi Daredevils,"DR Smith, Ishan Kishan, SK Raina, KD Karthik","Z Khan, Mohammed Shami, PJ Cummins",50
624,Wankhede Stadium,1,Kings XI Punjab,Mumbai Indians,"MJ Guptill, WP Saha, GJ Maxwell","HH Pandya, MJ McClenaghan, JJ Bumrah, SL Malinga, KV Sharma",71
625,Feroz Shah Kotla,1,Delhi Daredevils,Rising Pune Supergiant,"SV Samson, KK Nair, SS Iyer, RR Pant","JD Unadkat, SN Thakur, Washington Sundar, BA Stokes",54
626,Green Park,1,Gujarat Lions,Sunrisers Hyderabad,"DR Smith, Ishan Kishan","B Kumar, Mohammed Siraj, S Kaul, Mohammad Nabi",61
627,Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,"SS Tiwary, LMP Simmons, RG Sharma","TA Boult, C de Grandhomme, UT Yadav, SP Narine",51
628,Maharashtra Cricket Association Stadium,1,Kings XI Punjab,Rising Pune Supergiant,"MJ Guptill, SE Marsh, WP Saha, EJG Morgan, R Tewatia, GJ Maxwell","JD Unadkat, SN Thakur, BA Stokes",32
629,Feroz Shah Kotla,1,Royal Challengers Bangalore,Delhi Daredevils,"CH Gayle, Vishnu Vinod, V Kohli","Z Khan, Mohammed Shami, PJ Cummins",37
630,Wankhede Stadium,1,Rising Pune Supergiant,Mumbai Indians,"AM Rahane, RA Tripathi, SPD Smith, MK Tiwary","MJ McClenaghan, SL Malinga, JJ Bumrah, KV Sharma",33
631,M Chinnaswamy Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,"DA Warner, S Dhawan, KS Williamson","UT Yadav, TA Boult, SP Narine",30
632,M Chinnaswamy Stadium,1,Kolkata Knight Riders,Mumbai Indians,"CA Lynn, SP Narine, G Gambhir, RV Uthappa, IR Jaggi","MG Johnson, JJ Bumrah, SL Malinga, KV Sharma",25
633,"Rajiv Gandhi International Stadium, Uppal",1,Mumbai Indians,Rising Pune Supergiant,"LMP Simmons, PA Patel, AT Rayudu, RG Sharma","JD Unadkat, Washington Sundar, SN Thakur, LH Ferguson",32
634,Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,"RG Sharma, E Lewis, Ishan Kishan, SA Yadav","DL Chahar, SR Watson",39
635,Punjab Cricket Association IS Bindra Stadium,1,Delhi Daredevils,Kings XI Punjab,"C Munro, G Gambhir, SS Iyer","R Ashwin, MM Sharma, Mujeeb Ur Rahman, AR Patel, AJ Tye",45
636,Eden Gardens,1,Royal Challengers Bangalore,Kolkata Knight Riders,"BB McCullum, Q de Kock, V Kohli","R Vinay Kumar, PP Chawla, Kuldeep Yadav",52
637,Rajiv Gandhi International Stadium,1,Rajasthan Royals,Sunrisers Hyderabad,"AM Rahane, DJM Short, SV Samson","B Kumar, B Stanlake, Shakib Al Hasan",48
638,MA Chidambaram Stadium,1,Kolkata Knight Riders,Chennai Super Kings,"CA Lynn, SP Narine, RV Uthappa, N Rana","DL Chahar, Harbhajan Singh, SR Watson, RA Jadeja, Imran Tahir",64
639,Sawai Mansingh Stadium,1,Rajasthan Royals,Delhi Daredevils,"AM Rahane, DJM Short, BA Stokes, SV Samson","TA Boult, S Nadeem, CH Morris",51
640,Rajiv Gandhi International Stadium,1,Mumbai Indians,Sunrisers Hyderabad,"RG Sharma, E Lewis, Ishan Kishan","Sandeep Sharma, B Stanlake, Rashid Khan, S Kaul",54
641,M.Chinnaswamy Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,"KL Rahul, MA Agarwal, AJ Finch, Yuvraj Singh, KK Nair","CR Woakes, UT Yadav, K Khejroliya",50
642,Wankhede Stadium,1,Mumbai Indians,Delhi Daredevils,"SA Yadav, E Lewis","TA Boult, S Nadeem, Mohammed Shami, DT Christian",84
643,Eden Gardens,1,Kolkata Knight Riders,Sunrisers Hyderabad,"RV Uthappa, CA Lynn, N Rana","B Kumar, B Stanlake, S Kaul, Rashid Khan",49
644,M.Chinnaswamy Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"AM Rahane, DJM Short, SV Samson","Washington Sundar, CR Woakes, UT Yadav, YS Chahal",52
645,Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Chennai Super Kings,"KL Rahul, CH Gayle","DL Chahar, Harbhajan Singh, SN Thakur",75
646,Eden Gardens,1,Kolkata Knight Riders,Delhi Daredevils,"CA Lynn, SP Narine, RV Uthappa","TA Boult, CH Morris, S Nadeem",50
647,Wankhede Stadium,1,Mumbai Indians,Royal Challengers Bangalore,"SA Yadav, Ishan Kishan, RG Sharma, E Lewis","UT Yadav, CR Woakes, Washington Sundar, Mohammed Siraj",60
648,Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,"AM Rahane, DJM Short","PP Chawla, Kuldeep Yadav, SP Narine, Shivam Mavi",48
649,Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Sunrisers Hyderabad,"KL Rahul, CH Gayle","B Kumar, CJ Jordan, Rashid Khan, S Kaul",49
650,Maharashtra Cricket Association Stadium,1,Chennai Super Kings,Rajasthan Royals,"SR Watson, AT Rayudu, SK Raina","STR Binny, K Gowtham, JD Unadkat, BA Stokes, B Laughlin",69
651,Eden Gardens,1,Kolkata Knight Riders,Kings XI Punjab,"CA Lynn, SP Narine, RV Uthappa","AS Rajpoot, Mujeeb Ur Rahman, BB Sran, AJ Tye",50
652,M.Chinnaswamy Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,"JJ Roy, G Gambhir, SS Iyer, RR Pant","UT Yadav, CR Woakes, YS Chahal",28
653,Rajiv Gandhi International Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,"SR Watson, F du Plessis, SK Raina","B Kumar, B Stanlake, Shakib Al Hasan, S Kaul",27
654,Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,"SA Yadav, E Lewis, Ishan Kishan","DS Kulkarni, K Gowtham, JC Archer, JD Unadkat",43
655,Arun Jaitley Stadium,1,Kings XI Punjab,Delhi Daredevils,"KL Rahul, AJ Finch, MA Agarwal, KK Nair","TA Boult, Avesh Khan, LE Plunkett",51
656,Wankhede Stadium,1,Sunrisers Hyderabad,Mumbai Indians,"S Dhawan, KS Williamson, WP Saha, MK Pandey, Shakib Al Hasan, YK Pathan","JJ Bumrah, MJ McClenaghan, HH Pandya",51
657,M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"Q de Kock, V Kohli, AB de Villiers","DL Chahar, SN Thakur, Harbhajan Singh",52
658,Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Kings XI Punjab,"S Dhawan, KS Williamson, WP Saha, MK Pandey, Shakib Al Hasan","AS Rajpoot, BB Sran",37
659,Arun Jaitley Stadium,1,Delhi Daredevils,Kolkata Knight Riders,"PP Shaw, C Munro","PP Chawla, Kuldeep Yadav, Shivam Mavi, SP Narine, MG Johnson",57
660,Maharashtra Cricket Association Stadium,1,Chennai Super Kings,Mumbai Indians,"SR Watson, AT Rayudu, SK Raina","MJ McClenaghan, JJ Bumrah, HH Pandya, KH Pandya",51
661,Sawai Mansingh Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,"AD Hales, S Dhawan, KS Williamson","K Gowtham, DS Kulkarni, JC Archer, JD Unadkat",39
662,M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,"Q de Kock, BB McCullum","PP Chawla, SP Narine, MG Johnson, Shivam Mavi",40
663,Maharashtra Cricket Association Stadium,1,Chennai Super Kings,Delhi Daredevils,"SR Watson, F du Plessis","TA Boult, Avesh Khan, R Tewatia, LE Plunkett",56
664,M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"M Vohra, Q de Kock","JP Duminy, MJ McClenaghan, JJ Bumrah, KH Pandya",43
665,Arun Jaitley Stadium,1,Delhi Daredevils,Rajasthan Royals,"PP Shaw, C Munro, SS Iyer","DS Kulkarni, JC Archer, K Gowtham, JD Unadkat, S Gopal",62
666,Eden Gardens,1,Chennai Super Kings,Kolkata Knight Riders,"SR Watson, F du Plessis, SK Raina","MG Johnson, PP Chawla, Shivam Mavi, SP Narine",57
667,Holkar Cricket Stadium,1,Kings XI Punjab,Mumbai Indians,"KL Rahul, CH Gayle","MJ McClenaghan, JJ Bumrah, HH Pandya",49
668,Maharashtra Cricket Association Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"PA Patel, BB McCullum, V Kohli","DJ Willey, L Ngidi, SN Thakur",47
669,Rajiv Gandhi International Stadium,1,Delhi Daredevils,Sunrisers Hyderabad,"PP Shaw, GJ Maxwell, SS Iyer","B Kumar, Sandeep Sharma, Shakib Al Hasan, S Kaul",60
670,Wankhede Stadium,1,Mumbai Indians,Kolkata Knight Riders,"SA Yadav, E Lewis","N Rana, M Prasidh Krishna, MG Johnson, SP Narine, PP Chawla",56
671,Holkar Cricket Stadium,1,Rajasthan Royals,Kings XI Punjab,"JC Buttler, DJM Short, AM Rahane, SV Samson","R Ashwin, AS Rajpoot, Mujeeb Ur Rahman, AR Patel",45
672,Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,"AD Hales, S Dhawan, KS Williamson","MM Ali, UT Yadav, TG Southee, Mohammed Siraj",38
673,Sawai Mansingh Stadium,1,Rajasthan Royals,Kings XI Punjab,"AM Rahane, JC Buttler, K Gowtham","MP Stoinis, AR Patel, MM Sharma, AJ Tye",63
674,Eden Gardens,1,Mumbai Indians,Kolkata Knight Riders,"SA Yadav, E Lewis, RG Sharma","AD Russell, M Prasidh Krishna, TK Curran, SP Narine, PP Chawla",47
675,Arun Jaitley Stadium,1,Delhi Daredevils,Sunrisers Hyderabad,"PP Shaw, JJ Roy, SS Iyer, RR Pant","B Kumar, Sandeep Sharma, Shakib Al Hasan, S Kaul",38
676,Sawai Mansingh Stadium,1,Chennai Super Kings,Rajasthan Royals,"SR Watson, AT Rayudu, SK Raina","K Gowtham, Ankit Sharma, JC Archer, BA Stokes, JD Unadkat",55
677,Holkar Cricket Stadium,1,Kolkata Knight Riders,Kings XI Punjab,"CA Lynn, SP Narine, RV Uthappa","MM Sharma, Mujeeb Ur Rahman, R Ashwin, BB Sran, AJ Tye",59
678,Arun Jaitley Stadium,1,Delhi Daredevils,Royal Challengers Bangalore,"PP Shaw, JJ Roy, SS Iyer, RR Pant","YS Chahal, UT Yadav, TG Southee",44
679,Maharashtra Cricket Association Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,"S Dhawan, AD Hales, KS Williamson","DL Chahar, SN Thakur, DJ Willey",29
680,Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,"SA Yadav, E Lewis","K Gowtham, DS Kulkarni, JC Archer, BA Stokes",51
681,Holkar Cricket Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,"KL Rahul, CH Gayle, KK Nair, MP Stoinis, AJ Finch","UT Yadav, TG Southee, Mohammed Siraj",47
682,Eden Gardens,1,Rajasthan Royals,Kolkata Knight Riders,"RA Tripathi, JC Buttler, AM Rahane","Shivam Mavi, M Prasidh Krishna, SP Narine, AD Russell",68
683,Wankhede Stadium,1,Mumbai Indians,Kings XI Punjab,"SA Yadav, E Lewis, Ishan Kishan, KH Pandya, RG Sharma","AS Rajpoot, MM Sharma, AJ Tye",60
684,M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Sunrisers Hyderabad,"PA Patel, V Kohli, AB de Villiers, MM Ali","Sandeep Sharma, Shakib Al Hasan, Rashid Khan, S Kaul",44
685,Arun Jaitley Stadium,1,Delhi Daredevils,Chennai Super Kings,"PP Shaw, SS Iyer, RR Pant","DL Chahar, L Ngidi, RA Jadeja, SN Thakur",39
686,Sawai Mansingh Stadium,1,Rajasthan Royals,Royal Challengers Bangalore,"RA Tripathi, JC Archer, AM Rahane","YS Chahal, UT Yadav, MM Ali, TG Southee",45
687,Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Kolkata Knight Riders,"S Dhawan, SP Goswami","N Rana, M Prasidh Krishna, AD Russell, SP Narine, PP Chawla",60
688,Arun Jaitley Stadium,1,Delhi Daredevils,Mumbai Indians,"PP Shaw, GJ Maxwell, SS Iyer, RR Pant","KH Pandya, JJ Bumrah, HH Pandya, Mustafizur Rahman",46
689,Maharashtra Cricket Association Stadium,1,Kings XI Punjab,Chennai Super Kings,"KL Rahul, CH Gayle, AJ Finch, MK Tiwary, DA Miller","DL Chahar, L Ngidi",29
690,Wankhede Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,"S Dhawan, KS Williamson, SP Goswami, MK Pandey, Shakib Al Hasan","DL Chahar, L Ngidi, SN Thakur",47
691,Eden Gardens,1,Kolkata Knight Riders,Rajasthan Royals,"SP Narine, RV Uthappa, CA Lynn, N Rana, KD Karthik","K Gowtham, JC Archer, JD Unadkat",46
692,Eden Gardens,1,Sunrisers Hyderabad,Kolkata Knight Riders,"WP Saha, S Dhawan","Shivam Mavi, M Prasidh Krishna, AD Russell, SP Narine",45
693,Wankhede Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,"SP Goswami, S Dhawan, KS Williamson","DL Chahar, L Ngidi, SN Thakur",42
694,MA Chidambaram Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"V Kohli, PA Patel, MM Ali, AB de Villiers","DL Chahar, Harbhajan Singh",33
695,Eden Gardens,1,Sunrisers Hyderabad,Kolkata Knight Riders,"DA Warner, JM Bairstow","M Prasidh Krishna, PP Chawla, LH Ferguson, SP Narine",54
696,Wankhede Stadium,1,Delhi Capitals,Mumbai Indians,"PP Shaw, S Dhawan, SS Iyer, CA Ingram","Rasikh Salam, MJ McClenaghan, JJ Bumrah, HH Pandya",45
697,Sawai Mansingh Stadium,1,Kings XI Punjab,Rajasthan Royals,"KL Rahul, MA Agarwal, CH Gayle","DS Kulkarni, K Gowtham, JC Archer, BA Stokes",32
698,Arun Jaitley Stadium,1,Delhi Capitals,Chennai Super Kings,"PP Shaw, S Dhawan, SS Iyer","DL Chahar, SN Thakur, Harbhajan Singh",43
699,Eden Gardens,1,Kolkata Knight Riders,Kings XI Punjab,"CA Lynn, SP Narine, RV Uthappa, N Rana","Mohammed Shami, CV Varun, GC Viljoen, AJ Tye, R Ashwin",53
700,M.Chinnaswamy Stadium,1,Mumbai Indians,Royal Challengers Bangalore,"Q de Kock, RG Sharma","UT Yadav, Navdeep Saini, Mohammed Siraj",52
701,Rajiv Gandhi International Stadium,1,Rajasthan Royals,Sunrisers Hyderabad,"AM Rahane, JC Buttler, SV Samson","B Kumar, Sandeep Sharma, Rashid Khan, S Kaul",35
702,Punjab Cricket Association IS Bindra Stadium,1,Mumbai Indians,Kings XI Punjab,"RG Sharma, Q de Kock, SA Yadav","R Ashwin, Mohammed Shami, GC Viljoen, AJ Tye",62
703,Arun Jaitley Stadium,1,Kolkata Knight Riders,Delhi Capitals,"NS Naik, CA Lynn, RV Uthappa","K Rabada, S Lamichhane, CH Morris, HV Patel",36
704,Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Royal Challengers Bangalore,"JM Bairstow, DA Warner","MM Ali, UT Yadav, YS Chahal, Mohammed Siraj",59
705,MA Chidambaram Stadium,1,Chennai Super Kings,Rajasthan Royals,"AT Rayudu, SR Watson, SK Raina, KM Jadhav, MS Dhoni","DS Kulkarni, JC Archer, BA Stokes",29
706,Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Delhi Capitals,"KL Rahul, MA Agarwal, SM Curran, SN Khan","K Rabada, CH Morris, Avesh Khan, S Lamichhane",54
707,Sawai Mansingh Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,"V Kohli, PA Patel","K Gowtham, DS Kulkarni, JC Archer",48
708,Wankhede Stadium,1,Mumbai Indians,Chennai Super Kings,"Q de Kock, RG Sharma, SA Yadav","DL Chahar, SN Thakur, MM Sharma",40
709,Arun Jaitley Stadium,1,Delhi Capitals,Sunrisers Hyderabad,"PP Shaw, S Dhawan, SS Iyer","B Kumar, Mohammad Nabi, S Kaul",36
710,M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kolkata Knight Riders,"PA Patel, V Kohli","M Prasidh Krishna, PP Chawla, SP Narine, LH Ferguson",53
711,MA Chidambaram Stadium,1,Chennai Super Kings,Kings XI Punjab,"SR Watson, F du Plessis","Mohammed Shami, R Ashwin, SM Curran, AJ Tye",54
712,Rajiv Gandhi International Stadium,1,Mumbai Indians,Sunrisers Hyderabad,"RG Sharma, Q de Kock, SA Yadav, Ishan Kishan","B Kumar, Sandeep Sharma, Mohammad Nabi",30
713,M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Delhi Capitals,"PA Patel, V Kohli, AB de Villiers","I Sharma, CH Morris, K Rabada",40
714,Sawai Mansingh Stadium,1,Rajasthan Royals,Kolkata Knight Riders,"AM Rahane, SPD Smith, JC Buttler","PP Chawla, M Prasidh Krishna, SP Narine",28
715,Punjab Cricket Association IS Bindra Stadium,1,Sunrisers Hyderabad,Kings XI Punjab,"DA Warner, JM Bairstow, V Shankar","AS Rajpoot, Mujeeb Ur Rahman, Mohammed Shami",27
716,MA Chidambaram Stadium,1,Kolkata Knight Riders,Chennai Super Kings,"CA Lynn, SP Narine, RV Uthappa, N Rana, KD Karthik, Shubman Gill","DL Chahar, Harbhajan Singh, RA Jadeja",29
717,Wankhede Stadium,1,Kings XI Punjab,Mumbai Indians,"KL Rahul, CH Gayle","JP Behrendorff, JJ Bumrah, AS Joseph",50
718,Sawai Mansingh Stadium,1,Rajasthan Royals,Chennai Super Kings,"AM Rahane, JC Buttler, SV Samson, SPD Smith, RA Tripathi","DL Chahar, MJ Santner, SN Thakur",54
719,Eden Gardens,1,Kolkata Knight Riders,Delhi Capitals,"JL Denly, RV Uthappa, Shubman Gill","I Sharma, CH Morris, K Rabada, AR Patel",41
720,Wankhede Stadium,1,Mumbai Indians,Rajasthan Royals,"RG Sharma, Q de Kock","K Gowtham, DS Kulkarni, JC Archer, JD Unadkat",57
721,Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Royal Challengers Bangalore,"KL Rahul, CH Gayle","UT Yadav, Navdeep Saini, Mohammed Siraj",60
722,Eden Gardens,1,Kolkata Knight Riders,Chennai Super Kings,"CA Lynn, SP Narine, N Rana","DL Chahar, SN Thakur, MJ Santner, RA Jadeja",49
723,Rajiv Gandhi International Stadium,1,Delhi Capitals,Sunrisers Hyderabad,"PP Shaw, S Dhawan, C Munro, SS Iyer","B Kumar, KK Ahmed, Sandeep Sharma",51
724,Wankhede Stadium,1,Royal Challengers Bangalore,Mumbai Indians,"PA Patel, V Kohli, AB de Villiers","JP Behrendorff, SL Malinga, JJ Bumrah",45
725,Punjab Cricket Association IS Bindra Stadium,1,Kings XI Punjab,Rajasthan Royals,"KL Rahul, CH Gayle, MA Agarwal","DS Kulkarni, JD Unadkat, JC Archer",39
726,Rajiv Gandhi International Stadium,1,Chennai Super Kings,Sunrisers Hyderabad,"SR Watson, F du Plessis","B Kumar, KK Ahmed, Sandeep Sharma",41
727,Arun Jaitley Stadium,1,Mumbai Indians,Delhi Capitals,"RG Sharma, Q de Kock","I Sharma, K Rabada, CH Morris, KMA Paul",57
728,Eden Gardens,1,Royal Challengers Bangalore,Kolkata Knight Riders,"PA Patel, V Kohli, AD Nath","HF Gurney, SP Narine, M Prasidh Krishna",42
729,Sawai Mansingh Stadium,1,Mumbai Indians,Rajasthan Royals,"Q de Kock, RG Sharma, SA Yadav","STR Binny, DS Kulkarni, S Gopal, JC Archer, JD Unadkat",46
730,Arun Jaitley Stadium,1,Kings XI Punjab,Delhi Capitals,"KL Rahul, CH Gayle, MA Agarwal, DA Miller","I Sharma, S Lamichhane, K Rabada",50
731,Rajiv Gandhi International Stadium,1,Kolkata Knight Riders,Sunrisers Hyderabad,"CA Lynn, SP Narine, Shubman Gill, N Rana","B Kumar, S Nadeem, KK Ahmed, Sandeep Sharma",61
732,M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Chennai Super Kings,"PA Patel, V Kohli, AB de Villiers","DL Chahar, SN Thakur",49
733,Sawai Mansingh Stadium,1,Rajasthan Royals,Delhi Capitals,"AM Rahane, SPD Smith","I Sharma, K Rabada, AR Patel",52
734,MA Chidambaram Stadium,1,Sunrisers Hyderabad,Chennai Super Kings,"DA Warner, JM Bairstow, MK Pandey","DL Chahar, Harbhajan Singh",54
735,M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Kings XI Punjab,"PA Patel, V Kohli, AB de Villiers","AS Rajpoot, Mohammed Shami",70
736,Eden Gardens,1,Kolkata Knight Riders,Rajasthan Royals,"CA Lynn, N Rana, Shubman Gill, KD Karthik","VR Aaron, O Thomas, JC Archer",32
737,MA Chidambaram Stadium,1,Mumbai Indians,Chennai Super Kings,"RG Sharma, Q de Kock, E Lewis","DL Chahar, Harbhajan Singh",45
738,Sawai Mansingh Stadium,1,Sunrisers Hyderabad,Rajasthan Royals,"DA Warner, KS Williamson, MK Pandey","VR Aaron, O Thomas, S Gopal, JD Unadkat",51
739,Arun Jaitley Stadium,1,Delhi Capitals,Royal Challengers Bangalore,"PP Shaw, S Dhawan, SS Iyer","UT Yadav, Washington Sundar, YS Chahal, Navdeep Saini",59
740,Eden Gardens,1,Kolkata Knight Riders,Mumbai Indians,"Shubman Gill, CA Lynn","BB Sran, KH Pandya, SL Malinga, JJ Bumrah",50
741,Rajiv Gandhi International Stadium,1,Sunrisers Hyderabad,Kings XI Punjab,"DA Warner, WP Saha","Arshdeep Singh, Mujeeb Ur Rahman, Mohammed Shami, R Ashwin",77
742,M.Chinnaswamy Stadium,1,Royal Challengers Bangalore,Rajasthan Royals,"V Kohli, AB de Villiers, MP Stoinis, H Klaasen, Gurkeerat Singh, PA Patel, P Negi, Navdeep Saini","VR Aaron, S Gopal, R Parag, JD Unadkat, O Thomas",62
743,MA Chidambaram Stadium,1,Chennai Super Kings,Delhi Capitals,"F du Plessis, SR Watson, SK Raina","TA Boult, J Suchith, CH Morris, AR Patel",27
